"SoftPlot Measurement Presentation"
"Start", 3.000000000000000E+0005
"Stop", 6.000000000000000E+0009
"Points",801
"Point","X-Axis (Hz)","REF (re)","REF (im)","UUT (re)","UUT (im)","S13 (re)","S13 (im)"
118,1276870.612213134770,-15.492584228516,0.000000000000,-68.568740844727,0.000000000000,53.076156616211,0.000000000000
119,1292775.696744918820,-15.493080139160,0.000000000000,-68.504394531250,0.000000000000,53.011314392090,0.000000000000
120,1308878.899795532230,-15.494299888611,0.000000000000,-68.636352539063,0.000000000000,53.142052650452,0.000000000000
121,1325182.689167022710,-15.493906021118,0.000000000000,-68.649696350098,0.000000000000,53.155790328979,0.000000000000
122,1341689.563465118410,-15.494029998779,0.000000000000,-68.711845397949,0.000000000000,53.217815399170,0.000000000000
123,1358402.052356719970,-15.495336532593,0.000000000000,-68.603187561035,0.000000000000,53.107851028442,0.000000000000
124,1375322.717039108280,-15.494548797607,0.000000000000,-68.598052978516,0.000000000000,53.103504180908,0.000000000000
125,1392454.150611877440,-15.494645118713,0.000000000000,-68.578605651855,0.000000000000,53.083960533142,0.000000000000
126,1409798.978473663330,-15.495294570923,0.000000000000,-68.658805847168,0.000000000000,53.163511276245,0.000000000000
127,1427359.858707427980,-15.495591163635,0.000000000000,-68.620811462402,0.000000000000,53.125220298767,0.000000000000
128,1445139.482574462890,-15.496430397034,0.000000000000,-68.541893005371,0.000000000000,53.045462608337,0.000000000000
129,1463140.574785232540,-15.497200965881,0.000000000000,-68.629493713379,0.000000000000,53.132292747498,0.000000000000
130,1481365.894016265870,-15.497561454773,0.000000000000,-68.669792175293,0.000000000000,53.172230720520,0.000000000000
131,1499818.233306884770,-15.496854782104,0.000000000000,-68.547920227051,0.000000000000,53.051065444946,0.000000000000
132,1518500.420461654660,-15.498265266418,0.000000000000,-68.554344177246,0.000000000000,53.056078910828,0.000000000000
133,1537415.318588256840,-15.498044967651,0.000000000000,-68.595726013184,0.000000000000,53.097681045532,0.000000000000
134,1556565.826375961300,-15.499356269836,0.000000000000,-68.608444213867,0.000000000000,53.109087944031,0.000000000000
135,1575954.878650665280,-15.497435569763,0.000000000000,-68.680786132813,0.000000000000,53.183350563049,0.000000000000
136,1595585.446794509890,-15.498726844788,0.000000000000,-68.657257080078,0.000000000000,53.158530235291,0.000000000000
137,1615460.539201736450,-15.496927261353,0.000000000000,-68.642601013184,0.000000000000,53.145673751831,0.000000000000
138,1635583.201711654660,-15.497449874878,0.000000000000,-68.590881347656,0.000000000000,53.093431472778,0.000000000000
139,1655956.518188476560,-15.499485969543,0.000000000000,-68.599815368652,0.000000000000,53.100329399109,0.000000000000
140,1676583.610826492310,-15.498548507690,0.000000000000,-68.603759765625,0.000000000000,53.105211257935,0.000000000000
141,1697467.640733718870,-15.499062538147,0.000000000000,-68.545639038086,0.000000000000,53.046576499939,0.000000000000
142,1718611.808403015140,-15.499019622803,0.000000000000,-68.537940979004,0.000000000000,53.038921356201,0.000000000000
143,1740019.354158401490,-15.499321937561,0.000000000000,-68.628852844238,0.000000000000,53.129530906677,0.000000000000
144,1761693.558773040770,-15.500444412231,0.000000000000,-68.683624267578,0.000000000000,53.183179855347,0.000000000000
145,1783637.743801116940,-15.499856948853,0.000000000000,-68.752731323242,0.000000000000,53.252874374390,0.000000000000
146,1805855.272201538090,-15.499985694885,0.000000000000,-68.729248046875,0.000000000000,53.229262351990,0.000000000000
147,1828349.548820495610,-15.499644279480,0.000000000000,-68.713363647461,0.000000000000,53.213719367981,0.000000000000
148,1851124.020915985110,-15.500674247742,0.000000000000,-68.595039367676,0.000000000000,53.094365119934,0.000000000000
149,1874182.178657531740,-15.500374794006,0.000000000000,-68.524475097656,0.000000000000,53.024100303650,0.000000000000
150,1897527.555780410770,-15.501316070557,0.000000000000,-68.679176330566,0.000000000000,53.177860260010,0.000000000000
